phone_name	size	color	username	star	title	date	review
iPhone XS	256GB	Gris	Sweetiebambi	5	Perfect 👌	2018-12-01	Livraison très rapide.iPhone 256go à un prix incroyable 😍Facture adressée par mail rapidement.RAS parfait 👍
iPhone XS	256GB	Gris	Client d'Amazon	5	Iphone conforme à la description	2018-12-16	"Le produit commandé est bien celui reçu. En effet, le téléphone était neuf et non activé (après vérification IMEI sur le site d'Apple).Le téléphone fonctionne bien à un prix défiant toute concurrence (pendant le black friday)."
iPhone XS	64GB	Or	Ethan	5	Parfait	2019-03-02	"Il est tout bonnement parfait et sublime. En tant que gros utilisateurs Apple, je ne peux que le recommander sauf si vous avez un iPhone X car le changement n’en vaut pas la donne. La couleur or rend l’appareil majestueux."
iPhone XS	64GB	Gris	Mathieu	5	Apple toujours au top avec cet iPhone	2019-01-01	"Super content de cet iPhone, d’une fluidité sans égal. La reconnaissance faciale change la vie et le fait d’avoir cette barre de transition pour les applis en bas est génial."
iPhone XS	256GB	Gris	Sébastien	5	Un bijou	2019-04-08	"Rien à dire, fonctionnalités au top comme d'habitude, du sérieux à la conception. Je regrette l'absence du jack."
iPhone XS	256GB	Argent	Valentin	5	Super produit	2018-12-10	"Très satisfait de mon achat, le téléphone est arrivé neuf sous blister en 2 jours, la couleur est top et son fonctionnement aussi. Aucun problème concernant ce produit, je le recommande fortement, en plus il est moins cher qu'en magasin ;)"
iPhone XS	256GB	Argent	Client d'Amazon	4	As expected	2019-01-07	"Très bon téléphone même si l’appareil Photo n’a pas encore atteint la qualité de ses top concurrents, les photos restent néanmoins de bonne qualités."
iPhone XS	256GB	Gris	christophe cavaliere	5	Parfait juste le top des iphone	2019-06-01	Passé du 8s au XS aucun regret téléphone beaucoup plus rapide appareil photo nickel.Transfert des données rapide en passant par le wi-fi.Téléphone européen reçu dans une boîte Apple scellé avec tout ses accessoires.Pour ceux qui hésitent n’écoutez Pas les avis négatifs car le produit et la vitesse de livraison sont irréprochables.
iPhone XS	64GB	Gris	Xx	4	Produit super/Livraison à revoir	2018-12-18	"J'ai bien reçu mon Iphone XS 64Go rien à redire le produit est niquel. Seul problème sur la livraison, j'ai retrouvé le colis dans ma boite au lettre, je trouve ça très léger au vu du prix du téléphone."
iPhone XS	64GB	Or	Fabi	5	Mon avis	2019-04-12	"J’ai beaucoup aimé ce téléphone, je utilise des iphone depuis 4 ans et c’est la premier fois que j’achète le dernièr modèle qui venait de sortir, je suis vraiment contente, la caméra est magnifique, la reconnaissance faciale marche très bien et la batterie est durable."
iPhone XS	64GB	Argent	Lili	4	R A S	2019-05-23	iPhone conforme à la description un petit temps d’adaptation pour l’utilisation avoir au fur et à mesure du temps  livraison respecté
iPhone XS	256GB	Gris	Mario Tortorici	5	Répond à mes attentes.	2019-06-09	"Produit conforme à mes attentes. La qualité de l’ecran est saisissante et me faire courir le risque de devenir addict.Le xs edt beaucoup plus rapide que le X, face ID plus intuitif également (sans pour autant atteindre la vélocité de l’ipad pro)Bref, de quoi tenir pas mal d’années avec."
iPhone XS	256GB	Or	Asiatrik69	5	Superbe !	2018-11-08	"Produit conforme aux attente, livré dans les temps. Vraiment rien à dire"
iPhone XS	256GB	Gris	Sophie	3	Nul la batterie	2018-12-22	Je trouve un téléphone facile d’utilisation pratique et Face ID bleufentLe seul bémol est la batterie elle se vite trop vite. Je trouve trop nul pour un téléphone à ce prix
iPhone XS	256GB	Gris	Florian	5	Super iphone	2019-02-14	J'avais le 8 plus avant et j'ai changé pour le XS qui a presque la meme taille d'écran mais avec une bien meilleur prise en main... ( Le 8 plus est vraiment grand pour le tenir a une main... )Je suis tres content de mon passage a l'iphone XS
iPhone XS	256GB	Argent	Filou	5	"Super, avec une super reduc."	2019-05-30	Produit conforme et bien neuf. J’ai hésité quand j’ai vu certain avis mais rien a dire Amazon est très bon.
iPhone XS	64GB	Argent	Destieu J.	4	Très bon smartphone	2019-03-21	"Cet iphone fait bien son travail, l'écran est beau, certes cher mais ca vaut le coup.La seule chose qui m'a décu c'est que le colis ait été remis sans signature"
iPhone XS	256GB	Gris	M.	2	Bien	2018-12-08	"J’ai changé mon iphone 6 par le XS. Selon moi, les caractéristiques techniques sont un peu en deça de mes attentes. Colis simplement déposé dans la boute aux lettres, vu le prix c’est leger, surtout « remis contre signature » au moment de la commande."
iPhone XS	256GB	Argent	Stella	5	Vendeur très sérieux au top	2018-12-15	"Très bonne image, bonne qualité .  super vendeur aucun problème"
iPhone XS	256GB	Or	Kiyimituzolana dieu le veut	5	Pas mal	2019-06-03	Pas mal
iPhone XS	64GB	Or	Luis	1	Robber	2019-02-24	Rapport qualité prix médiocre
iPhone XS	256GB	Argent	Lheo OLIVARI	5	Niquel !	2019-05-22	"Rien a redire iPhone XS origine appel. Dans ça boîte d’origine sous blister, téléphone avec chargeur français."
iPhone XS	256GB	Gris	david	3	reco facial pas encore au point un gadgets	2019-05-07	mon frère qui me ressemble déverrouille d'un seul coup mon iPhone avec la reconnaissance faciale et pourtant il a des lunettes! sa veut tout dire ........photos on l’air de top qualité mais il faut pas trop zoomé sinon on vois les pixels
iPhone XS	256GB	Argent	Cha	5	I-phone	2019-02-14	Qualité photo pas à la mesure des commentaires et du prix
iPhone XS	256GB	Gris	Baba.	5	iPhone neuf conforme à la description	2018-11-30	Produit neuf mais arrivé dans un carton trop grand dans lequel la boîte de l’iphone n’etait pas calée.
iPhone XS	64GB	Or	Mere	5	Apple	2019-04-05	"Je collectionne tout les produits Apple donc j’étais obligé d’acheter celui là pour compléter ma collection. Ça reste un produit Apple donc de très bonne qualité et très beau, ne parlons pas du prix."
iPhone XS	64GB	Or	Léa Simbille	5	Parfait!	2018-12-19	"Passant de l'Iphone 6s au Xs, un sacré changement mais vraiment trop contente. Par contre le prix est vraiment trop cher, j'étais bien contente de profiter de la promo du black friday."
iPhone XS	64GB	Or	MS	5	Parfait 👍	2019-05-11	100/100 authentique apple magnifique mais peu de différence avec le X couleur sublime niveau livraison trop longue et pas de signature
iPhone XS	64GB	Or	SAMIA HABRI	5	Super	2018-11-08	Super produit rien à signaler.Livraison qui est passée du lundi au mardi après validation de la commande. Facture qui livre a 15h un peu tard!!! Seul bémol la livraison. Sinon produit conforme et arrive sans dommage
iPhone XS	256GB	Gris	Amazigh	1	Hyper fragile	2019-05-02	Écran parti en 1000 morceau au bout de 3 jours d’utiliSation. 1300€ de perdu
iPhone XS	256GB	Gris	francis mariani	5	La rapidité d’action	2019-04-14	Super photo qualité exceptionnelle
iPhone XS	64GB	Or	Client d'Amazon	5	Super Produit reçu en moins 2 jours	2018-11-08	Super produit reçu en moins de trois jours et un appareil photo magnifique
iPhone XS	256GB	Or	Client d'Amazon	5	Parfait	2019-03-19	Article conforme à la description.Je vous le recommande tous
iPhone XS	64GB	Or	therr	5	Je recommande de A a Z	2018-11-26	Superbe !!!! Recommande
iPhone XS	256GB	Or	Patricia A	5	Super iphone	2019-02-27	Cher à  l'achat mais facile d'utilisation. La robustesse y est également. J'apprécie aussi la qualité des images.  Bref je suis très satisfaite du produit.
iPhone XS	64GB	Or	kamar	5	Ravie	2019-05-26	Le meilleur iPhone tout est parfait le seul bémol son prix mais je ne regrette pas mon achat
iPhone XS	256GB	Argent	Client d'Amazon	5	Nickel	2018-11-30	"Super téléphone sur tous les plans, heureusement d’ailleurs vu le prix...."
iPhone XS	64GB	Gris	masquer	5	bon produit	2019-02-16	bon produit....
iPhone XS	64GB	Or	Le Goux	2	excellent produit	2019-04-05	mais c'est la Premium fois que j'utilise un Apple et je ne suis pas du tout familiarisé avec l'interface je connais mieux IOS 8;1
iPhone XS	64GB	Or	Llorca Rachel	5	Produit Apple au top	2018-11-29	J’ai reçu mon iPhone XS hier. 2 jours en avance par rapport à la date annoncée. Je suis ultra ravie du prix que j’ai payé en black friday pour ce petit bijoux.
iPhone XS	256GB	Argent	leolee12	5	vendeur tres serieux！	2018-11-25	parfait vendeur！parfait produit！
iPhone XS	64GB	Or	Lopes	5	Juste genial	2018-12-07	Rien a ajouter
iPhone XS	64GB	Argent	Client d'Amazon	5	Produit officiel et de qualité	2019-04-26	"Le produit est bel et bien Apple, officiel, certifié et sous emballage, livré très rapidement, et marche très bien"
iPhone XS	64GB	Gris	Client d'Amazon	5	Nickel !	2019-02-21	"Produit neuf, sous blister, livré en 1 jour à un prix réduit, c'est parfait!"
iPhone XS	64GB	Argent	Serigne	5	"Vraiment satisfait, satisfaction totale."	2019-01-05	"Produit neuf, livraison rapide, prix intéressant. Je recommande vivement !"
iPhone XS	64GB	Gris	Maladi barouda	5	Top	2018-12-20	Téléphone de grande qualité image au topDesign éléguant comme toujours Apple au top
iPhone XS	64GB	Gris	Nico BRBS	5	Excellent	2019-06-09	Conquis par le dernier smartphone de la pomme ! J’espère l’avoir sans problème pour ces prochaines années
iPhone XS	256GB	Gris	Jennifer	5	MANIABLE	2018-12-16	Il était conforme.! Et c’est un téléphone magnifique.👍🏾
iPhone XS	64GB	Or	Silvia	5	iPhone	2019-06-23	"C’était dure de le recevoir mais maintenant que je l’ai, je m’en sépare plu"
iPhone XS	64GB	Or	Client d'Amazon	5	conforme à mes attentes	2019-06-21	Conforme à mes attentes. Produit neuf sous emballage blister.
iPhone XS	64GB	Argent	eckon	5	état et livraison	2019-06-17	Téléphone d'orignine et livraison très rapide
iPhone XS	64GB	Argent	Mickapadrines	5	iPhone XS	2019-03-04	Super téléphone !
iPhone XS	256GB	Argent	Client d'Amazon	5	Au top	2019-05-18	Reçu très rapidement aucun soucisSuper content
iPhone XS	64GB	Or	MAANANE	5	Excellent telephone	2018-11-27	Excellent telephone rien à dire surtout avec l’offre du black friday
iPhone XS	256GB	Or	Client d'Amazon	5	au top	2019-05-15	bien reçu un iphone xs .
iPhone XS	256GB	Argent	gf	5	Bel écran	2019-06-16	Bon Apple
iPhone XS	256GB	Argent	GRANGER	5	IPhone XS	2018-11-13	"Livré en un temps record, produit impeccable .... bref, je suis ravi :-)Excellent vendeur !"
iPhone XS	64GB	Or	Client d'Amazon	5	Exactement ce à quoi je m'attendais	2018-12-17	"La reconnaissance faciale est vraiment top, et apple pay bien pratique."
iPhone XS	64GB	Argent	Caso	5	Très bien	2019-06-18	"Reçu rapidement, produit neuf , aucun défaut je recommande"
iPhone XS	64GB	Or	Manna	5	Très satisfaite merci	2019-06-29	Très bon produit très belle photosReconnaissance faciale très bien
iPhone XS	256GB	Argent	Client d'Amazon	5	Super	2019-03-06	Super produit
iPhone XS	256GB	Argent	le coeur	4	service rapide et courtois	2018-11-29	"c'est bien un iphone, manque juste une facture pour la garantie"
iPhone XS	256GB	Argent	Christophe remy	5	Photo et vidéo exceptionnelle!	2018-12-07	"iPhone XS au top! puissant,agréable à regarder."
iPhone XS	64GB	Or	Hochart Audrey	5	Impeccable	2018-11-30	Livraison impec produit impeccable communication juste parfaiteMerci
iPhone XS	64GB	Or	Jiji	5	Magnifique produit Apple !	2019-06-28	Produit conforme à la description. Utilisation facile .
iPhone XS	64GB	Gris	Sim	5	Très bien	2019-05-15	Super et arrivé plus tôt :D
iPhone XS	256GB	Gris	GABILLY PHILIPPE	5	Répond à mes attentes	2019-01-04	livraison rapide et parfaitement en adéquation avec ma commande
iPhone XS	64GB	Argent	Wilmot	5	Impeccable	2018-12-18	"Parfait bien reçu,téléphone exceptionnel je recommande !!!!"
iPhone XS	256GB	Or	Thiam	1	N’achetez pas	2019-06-24	N’achetez pas vous allez recevoir un wiko.
iPhone XS	64GB	Gris	kevin	5	Très satisfait de ma commande	2019-01-09	"Livé à temps, télèphone comme neuf. je recommande"
iPhone XS	64GB	Or	marine	5	Parfait	2018-11-25	Conforme à mes attentes
iPhone XS	64GB	Gris	Ndiaye	5	Je le recommande	2019-06-09	Conforme à la photo
iPhone XS	64GB	Or	Bnd	5	Très belle couleur	2019-04-22	Très bon produit je recommande !
iPhone XS	64GB	Or	Saint-Marc Jonathan	5	Super téléphone	2019-01-06	"Le produit est impeccable, tout est conforme."
iPhone XS	256GB	Gris	steeve-jo	5	Le fournisseur	2018-11-29	Très bon produit je recommande bien emballe 💪🏾
iPhone XS	64GB	Argent	coche	5	Parfait	2018-12-19	Correspond aux attentes. Livraison rapide.
iPhone XS	64GB	Argent	Krout	4	La facilité	2019-05-19	Pour appeler
iPhone XS	64GB	Or	Ahbab	5	Aucun doute cest un vrai	2018-12-22	Cest un vrai iphone
iPhone XS	256GB	Argent	Bastien	4	Fonctionnement ok	2018-12-28	Produit conforme
iPhone XS	64GB	Gris	amine	5	Réactivité de l’iPhone	2019-04-20	Magnifique produit.
iPhone XS	256GB	Argent	Shura91	5	"Bonne autonomie, facilité d’utilisation, jamais déçu avec iPhone mais le prix est exorbitant"	2019-06-07	Tout est parfait
iPhone XS	64GB	Argent	Jame el Hassan	5	Un peu chère mais fonctionne bien	2019-02-23	Fonctionne bien
iPhone XS	64GB	Or	Elo	5	iPhone	2018-11-30	On est des habitué de Apple
iPhone XS	64GB	Argent	Gathrb	5	Satisfaite	2018-12-16	Très bien
iPhone XS	256GB	Argent	PCF CMD Lda.	4	👍👌	2018-12-16	👍
iPhone XS	64GB	Gris	Levan dolenjashvili	5	Parfait rien à dire	2019-01-25	J’adore
iPhone XS	64GB	Gris	Client d'Amazon	5	A-Montain AU TOP	2018-11-28	"J’ai acheté mon iphone XS gris 64gb chez A-Montain, le colis bien protéger, livraison rapide. L’iphone est neuf et debloqué tout opérateur! Service client a l’écoute. Je recomande a tous!"
iPhone XS	64GB	Or	Laisse flexi giand	5	iPhone xs	2018-11-29	Tre bon produi à recommander
iPhone XS	256GB	Or	Rafo	5	Satisfait	2018-12-17	IPhone magnifique
